,Date,Year,Month,State,EF_Scale,Magnitude,Start_Lat,Start_Lon,End_Lat,End_Lon,Fatalities,Injuries,Property_Loss
61091,2017-10-12 04:00:00,2017,10,WA,0,0,45.7259,-122.6393,45.7242,-122.6376,0,0,2000.0
61092,2017-10-12 04:00:00,2017,10,OR,0,0,45.2555,-122.7778,45.254,-122.7653,0,0,40000.0
61093,2017-10-14 04:00:00,2017,10,MO,0,1,40.3586,-91.9832,40.3593,-91.9827,0,0,0.0
61094,2017-10-14 04:00:00,2017,10,IL,0,0,40.2324,-91.0823,40.2335,-91.0669,0,0,0.0
61095,2017-10-20 04:00:00,2017,10,TX,0,0,29.4757,-95.0738,29.4724,-95.0675,0,0,50000.0
61096,2017-10-21 04:00:00,2017,10,OK,0,-9,34.4793,-98.9428,34.4793,-98.9428,0,0,0.0
61097,2017-10-21 04:00:00,2017,10,OK,0,-9,34.62,-98.7148,34.62,-98.7148,0,0,0.0
61098,2017-10-21 04:00:00,2017,10,OK,0,1,34.8966,-98.2702,34.9331,-98.2016,0,0,3000.0
61099,2017-10-21 04:00:00,2017,10,OK,0,1,34.9248,-98.252,34.9306,-98.2465,0,0,5000.0
61100,2017-10-21 04:00:00,2017,10,OK,0,1,34.9405,-98.2503,34.99,-98.1621,0,0,15000.0
61101,2017-10-21 04:00:00,2017,10,OK,0,1,34.9575,-98.2535,34.9835,-98.2154,0,0,10000.0
61102,2017-10-21 04:00:00,2017,10,OK,0,1,34.9673,-98.1469,34.9862,-98.0948,0,0,3000.0
61103,2017-10-21 04:00:00,2017,10,OK,0,1,35.1832,-97.513,35.1783,-97.4543,0,0,102000.0
61104,2017-10-21 04:00:00,2017,10,OK,0,1,35.2392,-96.6933,35.2247,-96.6632,0,0,50000.0
61105,2017-10-22 04:00:00,2017,10,MS,0,1,30.3302,-88.5066,30.3467,-88.493,0,1,0.0
61106,2017-10-23 04:00:00,2017,10,AL,0,1,34.5746,-87.1057,34.5942,-87.0706,0,0,0.0
61107,2017-10-23 04:00:00,2017,10,SC,0,1,34.778,-82.085,34.943,-81.987,0,0,50000.0
61108,2017-10-23 04:00:00,2017,10,SC,0,2,34.972,-81.989,35.0,-81.948,0,1,1000000.0
61109,2017-10-23 04:00:00,2017,10,SC,0,1,35.138,-81.825,35.415,-81.633,0,0,205000.0
61110,2017-10-23 04:00:00,2017,10,SC,0,2,35.114,-81.727,35.183,-81.705,0,0,250000.0
61111,2017-10-23 04:00:00,2017,10,NC,0,1,35.422,-81.566,35.588,-81.48,0,0,100000.0
61112,2017-10-23 04:00:00,2017,10,NC,0,2,35.743,-81.39,35.792,-81.329,0,0,2000000.0
61113,2017-10-23 04:00:00,2017,10,NC,0,1,35.805,-81.339,35.898,-81.324,0,0,0.0
61114,2017-10-23 04:00:00,2017,10,NC,0,1,35.922,-81.287,36.021,-81.207,0,0,0.0
61115,2017-10-23 04:00:00,2017,10,NC,0,1,36.1499,-81.1449,36.274,-81.134,0,1,1000000.0
61116,2017-10-23 04:00:00,2017,10,VA,0,1,36.7005,-81.0214,36.7047,-81.0125,0,0,100000.0
61117,2017-10-23 04:00:00,2017,10,VA,0,1,37.1756,-80.6098,37.192,-80.597,0,0,500000.0
61118,2017-10-23 04:00:00,2017,10,VA,0,1,37.192,-80.597,37.2149,-80.5837,0,0,100000.0
61119,2017-10-23 04:00:00,2017,10,SC,0,1,33.8506,-78.8966,33.855,-78.8933,0,0,25000.0
61120,2017-10-23 04:00:00,2017,10,NC,0,0,34.0593,-78.3516,34.0633,-78.3477,0,0,7000.0
61121,2017-10-24 04:00:00,2017,10,VA,0,0,37.627,-76.9491,37.6324,-76.9481,0,0,50000.0
61122,2017-10-24 04:00:00,2017,10,FL,0,0,26.14,-80.46,26.14,-80.4598,0,0,0.0
61123,2017-10-28 04:00:00,2017,10,FL,0,0,25.7333,-80.3439,25.7367,-80.3507,0,0,0.0
61124,2017-10-28 04:00:00,2017,10,FL,0,0,26.5436,-80.1096,26.5472,-80.1095,0,0,0.0
61125,2017-10-28 04:00:00,2017,10,FL,0,0,26.6451,-80.0716,26.6724,-80.0627,0,0,0.0
61126,2017-10-31 04:00:00,2017,10,NY,0,0,42.8768,-78.8939,42.8783,-78.8863,0,0,3500.0
61127,2017-10-01 04:00:00,2017,10,KS,0,0,39.3785,-100.1223,39.3788,-100.0587,0,0,0.0
61128,2017-10-01 04:00:00,2017,10,KS,0,0,39.4578,-99.7739,39.4594,-99.7631,0,0,0.0
61129,2017-10-01 04:00:00,2017,10,KS,0,0,39.5499,-99.4754,39.5499,-99.4754,0,0,0.0
61130,2017-10-02 04:00:00,2017,10,KS,0,0,38.5512,-101.1186,38.6122,-101.0911,0,0,0.0
61131,2017-10-02 04:00:00,2017,10,KS,0,1,38.5434,-101.0318,38.5538,-100.9878,0,0,150000.0
61132,2017-10-02 04:00:00,2017,10,KS,0,2,38.6056,-100.9164,38.8089,-100.6993,0,0,0.0
61133,2017-10-02 04:00:00,2017,10,KS,0,0,38.3805,-101.6131,38.3867,-101.6022,0,0,0.0
61134,2017-10-02 04:00:00,2017,10,KS,0,1,38.8132,-100.5402,38.8173,-100.5346,0,0,40000.0
61135,2017-10-02 04:00:00,2017,10,KS,0,0,38.9296,-100.3967,38.9309,-100.3948,0,0,4000.0
61136,2017-10-02 04:00:00,2017,10,KS,0,1,39.067,-100.2363,39.0724,-100.229,0,0,75000.0
61137,2017-10-02 04:00:00,2017,10,NE,0,0,41.6024,-97.9204,41.6064,-97.9209,0,0,0.0
61138,2017-10-06 04:00:00,2017,10,CO,0,1,39.65,-104.11,39.65,-104.11,0,0,0.0
61139,2017-10-06 04:00:00,2017,10,KS,0,0,38.378,-98.3727,38.3855,-98.3633,0,0,0.0
61140,2017-10-06 04:00:00,2017,10,KS,0,0,38.67,-97.83,38.682,-97.789,0,0,0.0
61141,2017-10-06 04:00:00,2017,10,KS,0,1,39.4504,-96.6082,39.464,-96.5977,0,0,0.0
61142,2017-10-07 04:00:00,2017,10,AL,0,0,30.246,-87.6926,30.2465,-87.6937,0,0,0.0
61143,2017-10-07 04:00:00,2017,10,AL,0,0,30.6848,-88.2125,30.6874,-88.2159,0,0,50000.0
61144,2017-10-07 04:00:00,2017,10,WI,0,0,43.0905,-89.3565,43.1854,-89.2148,0,0,250000.0
61145,2017-10-07 04:00:00,2017,10,AL,0,0,31.946,-86.5072,31.9528,-86.5122,0,0,10000.0
61146,2017-10-07 04:00:00,2017,10,AL,0,0,30.2927,-87.5742,30.2943,-87.5755,0,0,5000.0
61147,2017-10-07 04:00:00,2017,10,AL,0,0,32.1438,-86.5919,32.1771,-86.6222,0,0,0.0
61148,2017-10-07 04:00:00,2017,10,AL,0,1,32.4015,-86.653,32.4471,-86.6933,0,0,0.0
61149,2017-10-07 04:00:00,2017,10,IN,0,0,39.2261,-85.108,39.2383,-85.057,0,0,85000.0
61150,2017-10-07 04:00:00,2017,10,AL,0,0,32.7383,-86.7677,32.768,-86.8056,0,0,0.0
61151,2017-10-07 04:00:00,2017,10,AL,0,1,32.8951,-86.8269,32.9783,-86.8526,0,0,0.0
61152,2017-10-07 04:00:00,2017,10,MS,0,0,31.6519,-88.6079,31.6542,-88.6178,0,0,25000.0
61153,2017-10-08 04:00:00,2017,10,SC,0,1,34.291,-82.044,34.458,-81.986,0,0,20000.0
61154,2017-10-08 04:00:00,2017,10,SC,0,1,35.16,-81.711,35.161,-81.711,0,0,20000.0
61155,2017-10-08 04:00:00,2017,10,SC,0,1,34.209,-81.917,34.246,-81.909,0,0,0.0
